E0D2G0:E0D2G0|0,x,2,0,x,x|001000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E2:E2|2,x,x,x,x,x|100000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E3G2B3:E3G2B3|3,x,x,2,3,x|200130
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
A2:A2|x,2,x,x,x,x|010000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
A0D4G2:A0D4G2|x,0,4,2,x,x|002100
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E3:E3|3,x,x,x,x,x|100000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E0B2e0:E0B2e0|0,x,x,x,2,0|000010
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
lf:lf|x,x,x,x,x,x|000000
E0D2G0B0:E0D2G0B0|0,x,2,0,0,x|001000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E2:E2|2,x,x,x,x,x|100000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E3G2B3e2:E3G2B3e2|3,x,x,2,3,2|300142
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
A2:A2|x,2,x,x,x,x|010000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
A0D4G2B2:A0D4G2B2|x,0,4,2,2,x|003120
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E3:E3|3,x,x,x,x,x|100000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E0G2B2e0:E0G2B2e0|0,x,x,2,2,0|000120
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
lf:lf|x,x,x,x,x,x|000000
E0D2G0B0:E0D2G0B0|0,x,2,0,0,x|001000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E2:E2|2,x,x,x,x,x|100000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E3G2B3e2:E3G2B3e2|3,x,x,2,3,2|300142
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
A2:A2|x,2,x,x,x,x|010000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
A0D4G2B2:A0D4G2B2|x,0,4,2,2,x|003120
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E3:E3|3,x,x,x,x,x|100000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E0G2B2e0:E0G2B2e0|0,x,x,2,2,0|000120
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
lf:lf|x,x,x,x,x,x|000000
E0D2G0B0:E0D2G0B0|0,x,2,0,0,x|001000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
D4e5:D4e5|x,x,4,x,x,5|001002
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
e7:e7|x,x,x,x,x,7|000001
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
E3G2B3e2:E3G2B3e2|3,x,x,2,3,2|300142
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
A2:A2|x,2,x,x,x,x|010000
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
B3:B3|x,x,x,x,3,x|000010
X:x|x,x,x,x,x,x|000000
B5:B5|x,x,x,x,5,x|000010
X:x|x,x,x,x,x,x|000000
X:x|x,x,x,x,x,x|000000
A0D4G2B2:A0D4G2B2|x,0,4,2,2,x|003120
X:x|x,x,x,x,x,x|000000
