D#:D#|x,x,1,3,4,3|001343
D#(1):D#(1)|x,6,8,8,8,6|012341
D#(2):D#(2)|11,13,13,12,11,11|134211
D#m:D#m|x,6,8,8,7,6|x13421
D#m(1):D#m(1)|11,13,13,11,11,11|134111
D#5:D#5|x,6,8,8,x,x|013300
D#7:D#7|x,x,1,3,2,3|001324
D#7(1):D#7(1)|x,6,8,6,8,6|013141
D#7(2):D#7(2)|x,6,8,6,8,9|012134
D#7(3):D#7(3)|11,13,11,12,11,11|131211
D#7(4):D#7(4)|11,13,11,12,14,11|131241
D#m7:D#m7|x,6,8,6,7,6|x13121
D#m7(1):D#m7(1)|x,6,8,6,7,9|x13124
D#m7(2):D#m7(2)|11,13,11,11,11,11|131111
D#m7(3):D#m7(3)|11,13,11,11,14,11|131141
D#m7(4):D#m7(4)|11,13,11,11,11,14|131114
